priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1965,macaroni and cheese sauce,macaroni and cheese sauce,8,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"macaroni and cheese sauce (cooked macaroni water, durum semolina enriched with niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , egg whites , water, club cheddar cheese pasteurized cultured milk, salt, enzymes, annatto coloring , sweet whey, modified food starch, wheat flour, soybean oil, whey protein concentrate, cheese flavor dehydrated blend of whey, granular and blue cheese pasteurized milk, culture, salt, enzymes , sunflower oil, maltodextrin, salt, sodium phosphate, citric acid, lactic acid , butter, salt, disodium phosphate, acetic acid esters of mono- and diglycerides, maltodextrin, citric acid, beta carotene blend corn oil, beta carotene color ) (4) | macaroni and cheese sauce (pasta water, durum semolina enriched with niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , egg whites , water (4)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:1,,
1955,parmesan marinara sauce,parmesan marinara sauce,21,no,egg | milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice, calcium chloride, citric acid , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragrain , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (16) | parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice, calcium chloride, citric acid , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragraina® , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (3) | parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice, calcium chloride, citric acid , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragrain® , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (1) | parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragrain , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (1)",usda_only_train:13 | usda_only_holdout:5 | usda_only_val:3,,
1915,mushroom sauce,mushroom sauce,12,no,milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"mushroom sauce (water, parmesan cheese pasteurized part-skim milk, cheese cultures, salt, enzymes , heavy cream pasteurized heavy cream, carrageenan , mushroom base sauteed mushrooms, organic maltodextrin, olive oil, yeast extract, salt, mushroom concentrate, organic cane sugar, onion powder, natural flavor oleoresin black pepper , onion, butter pasteurized cream milk , vegetable base cooked vegetables carrot, onion, celery , salt, sugar, corn oil, potato flour, carrot powder , soy sauce water, soybeans, salt, sugar , modified food starch, canola oil, parsley, garlic, porcini mushroom powder, white wine (6) | mushroom sauce (milk milk, vitamin d3 , water, onion, mushrooms, unsalted butter pasteurized cream, flavorings , canola oil, enriched wheat flour wheat flour, malted barley flour, niacin. reduced iron, thiamin mononitrate, riboflavin, folic acid , marsala wine dried marsala wine (6)",usda_only_train:9 | usda_only_val:2 | usda_only_holdout:1,,
1915,pasta with garlic sauce,pasta with garlic sauce,9,no,milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"pasta with garlic sauce (cooked enriched pasta water, enriched wheat flour durum wheat semolina, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , soybean oil, modified whey, salt, garlic seasoning garlic powder, sugar, spices, yeast extract, salt, whey, enzyme modified milkfat, natural flavors with milk , enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , cream flavor maltodextrin, lipolyzed cream , natural garlic oil blend medium chain triglycerides, natural flavors, soy lecithin ) (5) | pasta with garlic sauce (cooked enriched pasta water, enriched wheat flour durum wheat semolina, niacin, ferrous sulfate (iron), thiamine mononitrate, riboflavin, folic acid , soybean oil, modified whey (4)",usda_only_train:7 | usda_only_val:2,,
1890,monterey jack cheese sauce,monterey jack cheese sauce,9,no,milk | soy | tree nut,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | allergen:tree_nut | evidence:surface_form | review:product_style | review:surface_form_composite,"monterey jack cheese sauce (water, monterey jack cheese cultured milk, salt, enzymes , soybean oil, modified corn starch, nonfat dry milk, salt, sodium phosphate, cheddar cheese cultured milk, salt, enzymes , yeast extract, sodium citrate, acetic acid, monoglycerides, natural flavors, butter oil, lactic acid, maltodextrin, xanthan gum, annatto color) (5) | monterey jack cheese sauce (water, monterey jack cheese cultured milk, salt, enzymes , cornstarch-modified, nonfat dry milk, coconut oil (4)",usda_only_train:7 | usda_only_val:1 | usda_only_holdout:1,,
1880,southwest ranch dressing,southwest ranch dressing,16,no,egg | milk | soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:animal_derivative | evidence:surface_form | review:product_style | review:surface_form_composite,"southwest ranch dressing (soybean oil, water, cultured nonfat yogurt water, nonfat dry milk, modified food starch, whey protein concentrate, gelatin, lactic acid bacteria cultures , buttermilk, distilled vinegar, pear juice concentrate, lime juice concentrate, extra virgin olive oil (11) | southwest ranch dressing* (water, highly refined soy oil*, sour cream* pasteurized nonfat milk* and cream , white wine vinegar*, cane sugar*, onion*, cilantro*, egg yolk*, salt, natural flavors (5)",usda_only_train:14 | usda_only_val:1 | usda_only_holdout:1,,
1855,enchilada sauce,enchilada sauce,24,no,soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"enchilada sauce* (water, red chiles*, spices*, extra virgin olive oil*, apple cider vinegar*, tomato paste*, sea salt) (8) | enchilada sauce (water, tomato paste, soybean oil, onion powder, cumin, dehydrated garlic, chili powder chili pepper, silicon dioxide, ethoxyquin , food starch-modified, salt, sodium benzoate preservative , hydrolyzed corn protein hydrolyzed corn protein with sunflower oil added , sugar, oregano, chicken fat flavor hydrolyzed corn gluten, salt, maltodextrin, chicken fat, sodium phosphate, spices, sugar, natural flavors, disodium inosinate, disodium guanylate) (6) | enchilada sauce (water, tomato paste, corn starch, high oleic sunflower oil, sugar, potassium chloride, flavorings, sea salt, locust bean gum) (4) | enchilada sauce (water, guajillo chile paste water, dried guajillo chile , tomato, red bell pepper, modified food starch, sea salt, canola oil, sugar, dried ancho chili pepper, garlic powder, onion powder, cumin, chipotle sauce chipotle peppers, water, tomato paste, vinegar, onions, sugar, salt, canola oil, spices , dried coriander, xanthan gum, black pepper) (4) | organic enchilada sauce (water, organic spices, organic extra virgin olive oil, organic apple cider vinegar, organic tomato paste, sea salt) (1)",usda_only_train:16 | usda_only_val:4 | usda_only_holdout:4,,
1855,peanut lime cilantro dressing,peanut lime cilantro dressing,8,no,peanut | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:peanut | allergen:soy | diet_block:gluten_free | diet_block:vegan_only | evidence:surface_form | review:product_style | review:surface_form_composite,"peanut lime cilantro dressing (water, vegetable oil soybean and/or canola oil , sugar, peanut butter dry roasted peanuts, dextrose, hydrogenated cottonseed and rapeseed oil, salt , honey, brown sugar, garlic, cilantro, parmesan cheese pasteurized milk, cheese cultures, salt, enzymes , lime juice concentrate, ginger, natural flavors, soy sauce water, wheat, soybeans, salt, alcohol to retain freshness , white wine vinegar, salt, spices, xanthan gum, cayenne pepper) (4) | peanut lime cilantro dressing (water, vegetable oil soybean and/or canola oil , sugar, crunchy peanut butter dry roasted peanuts, dextrose, hydrogenated cotton seed and rapeseed oil, salt , honey, brown sugar, garlic, cilantro, parmesan cheese pasteurized milk, cheese cultures, salt, enzymes , lime juice concentrate, ginger, natural flavors, soy sauce water, wheat, soybeans, salt, alcohol to retain freshness , white wine vinegar, salt, spices, xanthan gum, cayenne pepper) (4)",usda_only_val:4 | usda_only_train:3 | usda_only_holdout:1,,
1845,bleu cheese dressing,bleu cheese dressing,55,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"bleu cheese dressing (water, soybean oil and/or canola oil, distilled vinegar, bleu cheese pasteurized milk, cheese cultures, salt, enzymes, penicillium roqueforti, cellulose to prevent caking , natamycin to protect flavor , sugar, egg yolk, salt, dehydrated buttermilk, cornstarch (11) | bleu cheese dressing (vegetable oil soybean, canola , bleu cheese whole milk, cultures, salt, enzymes, penicillium roquefort , buttermilk cultured lowfat milk, salt , water, distilled vinegar, sugar, whole eggs, egg yolks, salt, natural and artificial flavors, propylene glycol alginate, xanthan gum, hydrolyzed corn gluten, sodium benzoate and potassium sorbate as preservatives , caclium disodium edta to protect flavor ) (7) | bleu cheese dressing (vegetable oil soybean oil and/or canola oil , bleu cheese whole milk, cultures, salt, enzymes, penicillium roqueforti , buttermilk cultured lowfat milk, salt , water, distilled vinegar, sugar, whole eggs, egg yolks, salt, natural and artificial flavors, propylene glycol alginate, xanthan gum, hydrolyzed corn gluten, sodium benzoate and potassium sorbate as preservatives , calcium disodium edta to protect flavor ) (6) | bleu cheese dressing (vegetable oil soybean oil, canola oil , bleu cheese pasteurized milk, cheese culture, salt, enzymes, penicillium roqeforti , buttermilk cultured low fat milk, cream, salt , water, distilled vinegar, sugar, whole egg, egg yolk, salt, natural flavors, propylene glycol alginate, xanthan gum, spice, hydrolyzed corn gluten, sodium benzoate and potassium sorbate preservatives , calcium disodium edta to protect flavor ) (5) | bleu cheese dressing (water, soybean oil and/or canola oil, distilled vinegar, bleu cheese pasteurized milk, cheese cultures, salt, enzymes, penicillium roqueforti, cellulose to prevent caking , natamycin to protect flavor , sugar, egg yolk, salt, dehydrated buttermilk, cornstarch, may also contain: sugar, brown sugar, and natural smoke flavor) (5)",usda_only_train:40 | usda_only_holdout:9 | usda_only_val:6,,
1840,teriyaki sauce,teriyaki sauce,18,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"teriyaki sauce (water, soy sauce water, soybeans, wheat, salt , sugar, pineapple juice concentrate, mirin rice wine, cornstarch, blended grain vinegar water, distilled alcohol sugar, corn, tapioca, water , rice, rice extract, corn, salt , ginger (6) | teriyaki sauce (water, sugar, soy sauce water, wheat, soybeans, salt , corn starch (4) | teriyaki sauce (water, soy sauce water, wheat, soybeans, salt , granulated sugar, distilled vinegar white distilled vinegar diluted with water to 4% acidity , sherry cooking wine wine, salt (4) | teriyaki sauce (soy sauce water, wheat, soybeans, salt , sugar, water, modified food starch, onion juice, vinegar, natural flavor, garlic powder, malic acid, spice, disodium inosinate, disodium guanylate, sodium benzoate) (2) | teriyaki sauce (water, soy sauce water, soybeans, wheat, salt , sugar, pineapple juice concentrate, mirin rice wine, cornstarch, blended grain vinegar water, distilled alcohol sugar, corn, tapioca, water) (1)",usda_only_train:14 | usda_only_val:2 | usda_only_holdout:2,,
