priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
2030,seafood stuffing,seafood stuffing,14,no,egg | fish | milk | shellfish | soy | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:milk | allergen:shellfish | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"seafood stuffing (mayonnaise soybean oil, water, egg yolks, distilled vinegar (6) | seafood stuffing (imitation crab, (fish protein pollock, whiting, cod and threadfin bream water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate) spinach, pasteurized milk and cream, creamer (water, corn syrup solids, palm oil, sodium caseinate (milk derivative mono- and diglycerides, dipotassium phosphate, sodium silicoaluminate, soy lecithin) enriched wheat flour (enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), artichoke hearts, crabmeat and shrimp (6) | seafood stuffing (wheat flour, imitation crab fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika , water, onion, shrimp, green bell peppers, soybean oil, celery, red bell peppers, creamer corn syrup solids, palm oil, sodium caseinate milk derivative , mono and diglycerides, dipotassium phosphate, sodium silicoaluminate, soy lecithin . hydrolyzed corn gluten, sugar, corn oil, spice, disodium inosinate and guanylate, natural flavoring .) (1) | seafood stuffing (wheat flour, imitation crab fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika , water, onion, shrimp, gre (1)",usda_only_train:8 | usda_only_holdout:4 | usda_only_val:1 | openfoodfacts_targeted:1,,
2005,mix,mix,13,no,milk | peanut | sesame | soy | tree nut | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:peanut | allergen:sesame | allergen:soy | allergen:tree_nut | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"mix (peanuts, unbleached wheat flour malted barley as an enzyme additive , soybean oil, yellow corn masa, bulgar wheat, sesame seeds, almonds pumpkin seeds, poppy seeds, salt, seasoning spices, corn flour, salt, onion powder, potato flour, tomato powder, natural flavorings coconut oil fractions , garlic powder, green bell pepper powder, extractives of paprika and other spices, beet powder, turmeric, citric acid , cheddar cheese cultured milk, salt, enzymes , whey protein concentrate, lactose, buttermilk solids, salt, annatto extract, peanut oil and annatto color. hot southern peanuts (super extra large virginia peanuts, peanut oil, salt, onion powder, corn syrup solids, corn starch, jalapeno pepper, garlic powder, soybean oil, natural and artificial flavors (5) | mix (sugar, enriched wheat flour bleached flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , modified food starch, soybean oil, whey, leavening sodium aluminum phosphate, baking soda , salt, vital wheat gluten, propylene glycol mono-and diesters of fatty acids, mono- and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soy flour, eggs, natural and artificial flavor, water, ascorbic acid added as a dough conditioner, alpha-tocopherol preservative, citric acid) (5) | mix (sugar, bleached enriched wheat flour bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , cocoa processed with alkali , palm oil, fudgy pouch (sugar, palm oil with green tea and rosemary extract as anti-oxidants, alkalized cocoa powder, soy lecithin) (2) | mix (sugar, enriched wheat flour bleached (flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, soybean oil, whey (1)",usda_only_train:7 | usda_only_val:5 | usda_only_holdout:1,,
1980,seasoned crouton,seasoned crouton,8,no,egg | fish | milk | soy | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"seasoned croutons (unbleached enriched flour wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, and folic acid , canola and or high oleic sunflower oil, water, evaporated cane juice, salt, less than 2% of whey, parmesan cheeses (part-skim milk, cheese culture, salt, enzymes), whey, buttermilk solids, sodium phosphate, salt , yeast, nonfat dry milk, dextrose, onion, garlic, natural parmesan flavor, spices, parsley, and lactic acid. dressing: water, canola oil, parmesan cheese (milk, culture, salt, enzymes), cider vinegar, salt, romano cheese (milk, culture, salt, enzymes), lemon juice concentrate, egg yolk, sugar, garlic, spices, worcestershire powder (vinegar, molasses, corn syrup, salt, caramel color, garlic, sucrose, spices, tamarind, natural flavor, maltodextrin), citric acid, xanthan gum, dried onion, anchovy powder (maltodextrin, anchovy extract, salt), caramel color, annatto extract (color), yeast extract, natural flavors (4) | seasoned croutons (enriched flour wheat flour, barley malt, niacin reduced iron, thiamine mononitrate, riboflavin, folic acid , partially hydrogenated soybean oil and/or cottonseed oil, water, whey, salt (4)",usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1955,tomato basil tortilla,tomato basil tortilla,16,no,egg | milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"tomato basil tortilla (enriched bleached wheat flour flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, vegetable shortening soybean oil, vegetable mono and diglycerides, tocopherols (vitamin e) and vitamin c palmitate (as antioxidants) , tomato basil powder dextrose, sugar, tomato powder, onion powder, dehydrated parsley, garlic powder, spices (including basil), citric acid, artificial flavor, extractives of paprika, red 40 lake, yellow 5 lake, not more than 2% silicon dioxide to prevent caking (7) | tomato basil tortilla (enriched bleached wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, vegetable shortening (interesterified soybean oil, hydrogenated soybean oil and/or palm oil), seasoning (tomato powder, spice, salt, sugar, red bell pepper, sun dried tomato, soybean oil, autolyzed yeast extract, onion powder, garlic powder, citric acid, natural and artificial flavor extractives of paprika, sulfating agents), turkey breast (turkey breast, turkey broth, dextrose, salt, sodium lactate, modified food starch, tapioca starch, carrageenan, sodium phosphate, natural flavor, sodium diacetate, sodium erythorbate, sodium nitrite). romaine chopped lettuce, cheddar cheese sliced (pasteurized milk, cheese culture, salt, enzymes, annatto (color), roasted corn salsa (corn, water, sugar, salt), black beans (prepared black beans, water, salt, ferrous gluconate, calcium chloride added to help maintain firmness), pepper black cafe ground, diced red peppers, fresh cilantro, salt, cilantro mayo (extra heavy mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled and cider vinegar, salt, spice, calcium disodium edta added to protect flavor), fresh cilantro (4) | tomato basil tortilla (enriched bleached wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, vegetable shortening interesterified soybean oil, hydrogenated soybean oil and or palm oil , seasoning tomato powder, spice, salt, sugar, red bell pepper, sun dried tomato, soybean oil, autolyzed yeast extract, onion powder, garlic powder, citric acid, natural and artificial flavor, extractives of paprika, sulfiting agents (3) | tomato basil tortilla (enriched flour wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, canola oil,) (2)",usda_only_train:11 | usda_only_holdout:5,,
1955,tarragon chicken salad,tarragon chicken salad,11,no,egg | milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"tarragon chicken salad (cooked white meat chicken, salad dressing soybean oil, water, vinegar, sugar, egg yolks, modified food starch, salt, mustard flour, spice, paprika, natural flavor, dried garlic , celery, water chestnuts, almonds (7) | tarragon chicken salad (cooked white meat chicken, salad dressing soybean oil, water, vinegar, sugar, egg yolks, modified food starch, salt, mustard flour, spice, paprika, natural flavor, dried garlic , celery, water chestnuts, almonds, tartaric acid, spices bread crumbs bleached wheat flour, sugar, yeast. salt , sugar. shallots, salt, distilled vinegar, glucono delta lactone, spices including tarragon , modified food starch, gum arabic, whey) (4)",usda_only_train:8 | usda_only_val:2 | usda_only_holdout:1,,
1945,lobster surimi,lobster surimi,21,no,egg | fish | shellfish | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:shellfish | allergen:soy | diet_block:gluten_free | diet_block:meat | diet_block:vegan_only | evidence:surface_form | review:product_style | review:surface_form_composite,"lobster surimi (fish protein pollock and or whiting , water, wheat starch, sorbitol, egg whites, corn starch (6) | lobster surimi (alaska pollock, water, pea starch, sorbitol, sugar, modified tapioca starch, lobster meat, natural and artificial flavor extracts of lobster, blue crab, snow crab, and alaska pollock , fish oil anchovy, sardine , rice wine water, rice, koji , egg whites, sea salt, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine color , paprika color ) (5) | lobster surimi (fish protein pollock and/or whiting , water, wheat starch, sorbitol, egg white, corn starch, lobster meat, sugar, soybean oil, salt, natural and artificial lobster flavor, mirin wine, calcium carbonate, sodium tripolyphosphate, tetrasodium pyrophosphate, color added carmine, paprika ) (4) | lobster surimi (alaskan pollock, water, pea starch, sorbitol, sugar, modified tapioca starch,1 mustard seed, salt, turmeric, oleoresin paprika spices) (4) | lobster surimi (alaska pollock, water, wheat starch egg whites, sorbitol, corn starch, sugar (2)",usda_only_train:14 | usda_only_holdout:4 | usda_only_val:3,,
1930,shrimp salad,shrimp salad,10,no,egg | fish | shellfish | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:shellfish | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"shrimp salad (cooked north pacific cold water shrimp, alaskan pollock, water, sugar, wheat starch, cornstarch (6) | shrimp salad (cooked north pacific cold water shrimp, alaska pollock, water, sugar, egg whites, wheat starch, corn starch (4)",usda_only_train:6 | usda_only_val:2 | usda_only_holdout:2,,
1915,crushed chocolate sandwich cookie,crushed chocolate sandwich cookie,9,no,milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , soybean and palm oil, cocoa processed with alkali, invert sugar, yellow corn flour, cornstarch, chocolate, salt, leavening baking soda, monocalcium phosphate , artificial flavor, soy lecithin, whey) (5) | crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , soybean oil and palm oil, cocoa processed with alkali, invert sugar, degerminated yellow corn flour, cornstarch, unsweetened chocolate, leavening baking soda, monocalcium phosphate , salt, artificial flavor, soy lecithin, whey) (2) | crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, reduced iron, thiamine mononitrate riboflavin, folic acid , soybean oil and palm oil, canola oil, cocoa processed with alkali, invert sugar, high fructose corn syrup, degerminated yellow corn flour, corn starch, unsweetened chocolate leavening baking soda, calcium phosphate, monocalcium phosphate , salt, artificial flavor, soy lecithin, whey) (1) | crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , soybean oil and palm oil, cocoa processed with alkali, invert sugar, degerminated yellow corn flour, corn starch, unsweetened chocolate, leavening baking soda, monocalcium phosphate , salt, artificial flavor, soy lecithin, whey) (1)",usda_only_train:6 | usda_only_holdout:2 | usda_only_val:1,,
1905,ravioli,ravioli,17,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"ravioli (water, enriched durum flour durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , ricotta cheese whey, milk, vinegar, carrageenan , mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes , eggs, breadcrumbs enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , sugar, soybean oil, yeast , parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzyme, powdered cellulose , salt, egg whites, grated asiago cheese pasteurized milk, cheese cultures, salt, enzyme, powdered cellulose , natural flavor, modified cornstarch, xanthan gum, guar gum, locust bean gum, granulated garlic, black pepper, beta carotene) (7) | ravioli (water, enriched durum flour durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , ricotta cheese whey, milk, vinegar, carrageenan , mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes , eggs, breadcrumbs enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , sugar, soybean oil, yeast , parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzyme , salt, egg whites, grated asiago cheese pasteurized milk, cheese cultures, salt, enzyme , natural flavor, methylcellulose, modified cornstarch, xanthan gum, guar gum, locust bean gum, granulated garlic, black pepper, beta carotene) (6) | ravioli (water, enriched durum flour durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , ricotta cheese whey, milk, vinegar, carrageenan , mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes , eggs, breadcrumbs enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , sugar, soybean oil, yeast , parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzyme, powdered cellulose , salt, egg whites, grated asiago cheese pasteurized milk, cheese cultures, salt, enzyme, powdered cellulose , natural flavor, modified cornstarch, xanthan gum, guar gum, locust bean gum, granulated garlic, black pepper, beta carotene , parmesan cheese pasteurized cow's milk, cheese cultures, salt, enzymes , salt, sugar, yeast, soybean oil, garlic powder, spices, onion powder) (4)",usda_only_train:11 | usda_only_val:4 | usda_only_holdout:2,,
1905,pudding mix,pudding mix,16,no,milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:milk | allergen:soy | diet_block:animal_derivative | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"pudding mix (corn maltodextrin, sugar, whey permeate powder, modified corn starch, cocoa powder processed with alkali , cream powder cream, nonfat milk, soy lecithin , propylene glycol ester of fatty acid, natural flavor, mono- and diglycerides of fatty acids, lecithin, tocopherol-rich extract to protect flavor , acacia gum) (4) | pudding mix (sugar, modified cornstarch, cocoa processed with alkali, disodium phosphate, gummies (corn syrup, sugar, water, gelatin, citric acid, pectin, natural and artificial flavors, palm oil, carnauba leaf wax to prevent sticking , yellow 5, yellow 6, blue 1, red 40); crumbs (enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid , sugar, canola oil, cocoa processed with alkali, high fructose corn syrup (3) | pudding mix (sugar, dairy product solids modified whey, reduced protein whey, whey solids , modified corn starch, sweet cream powder sweet cream, nonfat milk, sodium caseinate, tocopherol , cocoa powder, maltodextrin, propylene glycol esters of mono and diglycerides, soy lecithin, salt) (3) | pudding mix (sugar, modified cornstarch, cocoa processed with alkali, disodium phosphate, gummies (corn syrup, sugar, water, gelatin, citric acid, pectin, natural and artificial flavors, palm oil, carnauba leaf wax to prevent sticking , yellow 5, yellow 6, blue 1, red 40); crumbs (enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid , sugar, canola oil, cocoa processed with alkali, high fructose corn syrup (3) | pudding mix (sugar, modified cornstarch, gummies (corn syrup, sugar, water, gelatin, citric acid, pectin, natural and artificial flavor, palm oil, carnauba leaf wax to prevent sticking , artificial color, blue 1, red 40); crumbs (enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid , sugar, palm oil (3)",usda_only_train:14 | usda_only_val:1 | usda_only_holdout:1,,
