priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1915,seasoning corn syrup solids brown sugar salt dextrose vinegar powder garlic powder onion powder chicken type flavor,"seasoning corn syrup solids, brown sugar, salt, dextrose, vinegar powder , garlic powder, onion powder, chicken type flavor",10,no,soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"seasoning (corn syrup solids, brown sugar, salt, dextrose, vinegar powder (maltodextrin, modified corn starch, dried vinegar), garlic powder, onion powder, chicken type flavor (hydrolyzed corn gluten, autolyzed yeast extract, partially hydrogenated soybean and cottonseed oil, thiamine hydrochloride, disodium inosinate, disodium guanylate)) (6) | seasoning (corn syrup solids, brown sugar, salt, dextrose, vinegar powder (maltodextrin, modified corn starch, dried vinegar), garlic powder, onion powder, chicken type flavor (hydrolyzed corn gluten, autolyzed yeast extract, soybean oil, thiamine hydrochloride, disodium inosinate and disodium guanylate)) (4)",usda_only_train:7 | usda_only_val:2 | usda_only_holdout:1,,
1880,and citric acid added to help protect flavor,and citric acid added to help protect flavor,27,no,fish | milk | soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:fish | allergen:milk | allergen:soy | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"and citric acid added to help protect flavor (beef water, salt, hydrolyzed soy protein, spices, dextrose, sodium phosphate, dried onion, dried garlic, dried worcestershire sauce (distilled vinegar, molasses, corn syrup, salt, caramel color, garlic powder, sugar, spices, tamarind, natural flavor , bha, bht, citric acid), not smoked provolone cheese cultured pasteurized milk, salt, enzymes , fully cooked beef patty crumbles (beef, water, textured vegetable protein (soy flour, caramel color , salt, spice, granulated onion, and granulated garlic) (9) | and citric acid added to help protect flavor (beef, water, salt, hydrolyzed soy protein, spices, dextrose, sodium phosphate, dried onion, dried garlic, dried worcestershire sauce distilled vinegar, molasses, corn syrup, salt, caramel color, garlic powder, sugar, spices, tamarind, natural flavor , bha, bht, citric acid) (7) | and citric acid added to help protect flavor (pork, beef, salt, topping: parmesan and romano cheese blend (parmesan cheese made from cow's milk, salt, enzymes , romano cheese made from cow's milk, salt, enzymes , powdered cellulose/starch blend added to prevent caking), breadcrumbs (bleached flour, water, vegetable oil soybean oil, cottonseed oil, and/or canola oil , salt, yeast (6) | and citric acid added to help protect flavor (beef, pork, water, bread crumbs wheat, flour, water, salt, yeast, also (4) | and citric acid added to help protect flavor (beef, water, salt, hydrolyzed soy protein, spices, dextrose, sodium phosphate, dried onion, dried garlic, driedworcestershire sauce distilled vinegar, molasses, corn syrup, salt, caramel color, garlic powder, sugar, spices, tamarind, natural flavor , bha, bht, citric acid) (1)",usda_only_train:17 | usda_only_holdout:7 | usda_only_val:3,,
1840,citric acid added to help protect flavor,citric acid added to help protect flavor,18,no,soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:animal_derivative | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"citric acid added to help protect flavor (13) | citric acid added to help protect flavor (pork, mechanically separated chicken, water, textured soy protein concentrate, spices, salt, sugar, sodium phosphates, paprika, natural pork flavor modified cornstarch, pork fat, natural flavors, pork stock, gelatin autolyzed yeast extract, sodium phosphates, thiamine hydrochloride, sunflower oil, propyl gallate , spice extractives, bha, bht, citric acid) (5)",usda_only_train:14 | usda_only_holdout:3 | usda_only_val:1,,
1790,seasoning blend,seasoning blend,582,no,milk | soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | allergen:soy | diet_block:animal_derivative | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"seasoning blend (chili pepper, paprika color , spices, onion powder, sugar, garlic powder, dextrose, maltodextrin, yeast extract, disodium inosinate, disodium guanylate, lactic acid, calcium lactate, natural flavors, fermented wheat protein, salt) (38) | seasoning blend (modified corn starch, salt, dehydrated onion, dehydrated garlic, sugar, spice, soybean oil, mozzarella cheese blend: low moisture part skim mozzarella cheese (pasteurized milk, cultures, salt, enzymes), mozzarella cheese substitute (water, corn oil, nonfat dry milk, modified food starch, potassium chloride, sodium citrate, sodium aluminum phosphate, sodium tripolyphosphate, tri-calcium phosphate, magnesium oxide, ferric orthophosphate, vitamin a palmitate, niacinamide, zinc oxide, cyanocobalamin, pyridoxine hydrochloride vitamin b6 ) (29) | seasoning blend (modified corn starch, salt, dehydrated onion, dehydrated garlic, sugar, spice, soybean oil, mozzarella cheese blend: mozzarella cheese substitute (water, palm oil, rennet casein milk protein , sodium aluminum phosphate, modified food starch, salt, lactic acid, natural flavor, sodium citrate, sorbic acid preservative , enrichment blend magnesium oxide, zinc oxide, ferric-ortho-phosphate, vitamin a palmitate, riboflavin, pyridoxine hydrochloride, niacinamide, thiamine mononitrate, vitamin b12 , low moisture part-skim mozzarella cheese pasteurized part-skim milk, cheese culture, salt, enzymes ), imitation mozzarella cheese (water, palm oil, modified food starch, whey, rennet casein milk protein , salt, sodium aluminum phosphate, citric acid, trisodium phosphate, sodium citrate, potassium sorbate, lactic acid, natural flavor, low-moisture part skim mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes ). pepperoni: pork, beef, salt, may also contain 2% or less of spices, spice extractives, dextrose, sugar, flavorings, sodium ascorbate, water, garlic powder (28) | seasoning blend (modified corn starch, salt, dehydrated onion, dehydrated garlic, sugar, spice, soybean oil, mozzarella cheese blend: mozzarella cheese substitute (water, palm oil, rennet casein milk protein , sodium aluminum phosphate, modified food starch, salt, lactic acid, natural flavor, sodium citrate, sorbic acid preservative , enrichment blend magnesium oxide, zinc oxide, ferric-ortho-phosphate, vitamin a palmitate, riboflavin, pyridoxine hydrochloride, niacinamide, thiamine mononitrate, vitamin b12 , low moisture part-skim mozzarella cheese pasteurized part-skim milk, cheese culture, salt, enzymes ), imitation mozzarella cheese (water, palm oil, modified food starch, whey, rennet casein milk protein , salt, sodium aluminum phosphate, citric acid, trisodium phosphate, sodium citrate, potassium sorbate, lactic acid, natural flavor, low-moisture part skim mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes ). cooked pork and chicken pizza topping: sausage made with pork and chicken (pork, mechanically separated chicken, water, seasoning spices, corn syrup solids, salt, dry garlic, chili pepper, caramel color , caramel color, water, textured vegetable protein soy protein concentrate, caramel color ). pepperoni: pork, beef, salt, may also contain 2% or less of spices, spice extractives, dextrose, sugar, flavorings, sodium ascorbate, water, garlic powder (22) | seasoning blend (modified corn starch, salt, dehydrated onion, dehydrated garlic, sugar, spice, soybean oil, cheese blend: cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto color ), imitation cheddar cheese (water, rennet casein milk protein , palm oil, whey, modified food starch, salt, sodium aluminum phosphate, lactic acid, natural flavor, sodium citrate, sorbic acid preservative , trisodium phosphate, artificial color, guar gum, artificial flavor, enrichment blend magnesium oxide, zinc oxide, ferric-ortho-phosphate, vitamin a palmitate, riboflavin, pyridoxine hydrochloride, niacinamide, thiamine mononitrate, vitamin b12 ). cooked beef topping: hamburger (beef, seasonings salt, spices, flavorings ), water, textured vegetable protein (soy protein concentrate, caramel color) (22)",usda_only_train:386 | usda_only_val:104 | usda_only_holdout:92,,
1790,parmesan and asiago cheese blend with flavor,parmesan and asiago cheese blend with flavor,18,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,"parmesan and asiago cheese blend with flavor (parmesan and asiago cheeses cultured milk, salt, enzymes , enzyme modified parmesan cheese cultured milk, water, salt, enzymes , whey, salt) (14) | parmesan and asiago cheese blend with flavor (parmesan and asiago cheeses cultured milk, salt, enzymes , flavor enzyme modified parmesan cheese cultured milk, water, salt, enzymes , whey, salt) (3) | parmesan and asiago cheese blend with flavor (parmesan and asiago cheeses cultured milk, salt, enzymes , enzymes modified parmesan cheese cultured milk, water, salt, enzymes , whey, salt) (1)",usda_only_train:15 | usda_only_val:3,,
1790,palm oil with natural butter flavor,palm oil with natural butter flavor,13,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,palm oil with natural butter flavor (13),usda_only_train:10 | usda_only_val:2 | usda_only_holdout:1,,
1790,spice mix flour,spice mix flour,8,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:ambiguous_generic,"spice mix flour (unbleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin and folic acid) (8)",usda_only_train:6 | usda_only_val:2,,
1780,butter flavor,butter flavor,95,no,milk,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"butter flavor (53) | butter flavor (. beef frank: beef, water (7) | butter flavor (. toppings: part skim mozzarella cheese (pasteurized part skim milk, cultures, salt, enzymes), pizza sauce (water, tomato paste, sugar, salt, modified food starch, natural parmesan cheese flavor cheese pasteurized milk, cultures, salt, enzymes , water, disodium phosphate , garlic puree, garlic powder, onion powder, citric acid, oregano, basil, black pepper, cayenne pepper), pepperoni (pork and beef, salt, flavorings, lactic acid starter culture, oleoresin of paprika, sodium nitrite, bha, bht, citric acid to protect flavor (7) | butter flavor (. toppings: pizza sauce (water, tomato paste, sugar, salt, modified food starch, natural parmesan cheese flavor cheese pasteurized milk, cultures, salt, enzymes , water, disodium phosphate , garlic puree, garlic powder, onion powder, citric acid, oregano, basil, black pepper, cayenne pepper), part skim mozzarella cheese (pasteurized part skim milk, cultures, salt, enzymes), provolone cheese (pasteurized milk, cultures, salt, enzymes), pepperoni (pork, beef, salt, flavorings, lactic acid starter culture, oleoresin of paprika, sodium nitrite, bha, bht, citric acid to protect flavor (7) | butter flavor (. toppings: part skim mozzarella cheese (pasteurized part skim milk, cultures, salt, enzymes), pizza sauce (water, tomato paste, sugar, salt, modified food starch, natural parmesan cheese flavor cheese pasteurized milk, cultures, salt, enzymes , water, disodium phosphate , garlic puree, garlic powder, onion powder, citric acid, oregano, basil, black pepper, cayenne pepper), cooked sausage (pork, water, salt, spices, sugar, sodium phosphates, flavorings), pepperoni (pork, beef, salt, flavorings, lactic acid starter culture, oleoresin of paprika, sodium nitrite, bha, bht, citric acid to protect flavor (7)",usda_only_train:56 | usda_only_val:23 | usda_only_holdout:16,,
1740,bht and citric acid added to help protect flavor,bht and citric acid added to help protect flavor,181,no,soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:animal_derivative | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"bht and citric acid added to help protect flavor (pork, mechanically separated chicken, water, textured soy protein concentrate, spices, salt, sugar, sodium phosphates, paprika, natural pork flavor modified cornstarch, pork fat, natural flavors, pork stock, gelatin, autolyzed yeast extract, sodium phosphates, thiamine hydrochloride, sunflower oil, propyl gallate , spice extractives, bha, bht, citric acid) (125) | bht and citric acid added to help protect flavor (pork, water, mechanically separated chicken, textured soy protein concentrate, modified cornstarch, salt, spices, beef, soy protein concentrate, flavoring, sodium phosphate, bha, bht, citric acid. cooked in pork fat or beef fat or vegetable oil.) (16) | bht and citric acid added to help protect flavor (15) | bht and citric acid added to help protect flavor (pork, mechanically separated chicken, water, textured soy protein concentrate, spices, salt, sugar, sodium phosphates, paprika, natural pork flavor modified cornstarch, pork fat, natural flavors, pork stock, gelatin, autolyzed yeast extract, sodium phosphates, thiamine hydrochloride, sunflower oil, propyl gallate) (13) | bht and citric acid added to help protect flavor (turkey, water (6)",usda_only_train:116 | usda_only_val:37 | usda_only_holdout:28,,
1740,natural and artificial butter flavor,natural and artificial butter flavor,159,no,milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | evidence:surface_form | review:ambiguous_generic,"natural and artificial butter flavor (soybean oil, butter, lipolyzed butter oil, and natural and artificial flavors) (83) | natural and artificial butter flavor (butter cream, milk , partially hydrogenated soybean and cottonseed oil, soybean oil, lipolyzed butter oil, natural and artificial flavors) (23) | natural and artificial butter flavor (23) | natural and artificial butter flavor (soybean oil, butter, lipolyzed butter oil, and natural andartificial flavors) (7) | natural and artificial butter flavor (soybean oil butter, lipolyzed butter oil and natural and artificial flavors) (5)",usda_only_train:111 | usda_only_val:30 | usda_only_holdout:18,,
