class,class_scope,candidate_alias,candidate_norm,support_rows,target_rows,unmatched_target_rows,other_labeled_rows,unlabeled_rows,target_precision_pct,target_exclusivity_pct,priority_score,recommendation,reason
Egg,big9,enzyme modified egg yolks,enzyme modified egg yolks,271,183,183,88,0,67.53,67.53,123.5756,review_medium,Moderate precision/exclusivity; verify before promotion.
Egg,big9,enriched egg noodle product,enriched egg noodle product,47,40,25,7,0,85.11,85.11,34.0426,review_high,Strong precision/exclusivity; mined from unmatched positives.
Egg,big9,egg extender,egg extender,23,23,17,0,0,100.00,100.00,23.0000,promote,"High support, precision, and exclusivity from uncovered positives."
Egg,big9,egg noodle,egg noodle,88,44,38,44,0,50.00,50.00,22.0000,review_low,Frequent in uncovered positives but likely ambiguous.
Egg,big9,rehydrated egg white,rehydrated egg white,23,17,17,6,0,73.91,73.91,12.5652,review_medium,Moderate precision/exclusivity; verify before promotion.
Egg,big9,egg roll,egg roll,27,17,17,10,0,62.96,62.96,10.7037,review_medium,Moderate precision/exclusivity; verify before promotion.
Peanut,big9,peanuts,peanuts,6334,2867,1769,3467,0,45.26,45.26,1297.7090,review_low,Frequent in uncovered positives but likely ambiguous.
Peanut,big9,spicy peanuts,spicy peanuts,119,76,76,43,0,63.87,63.87,48.5378,review_medium,Moderate precision/exclusivity; verify before promotion.
Peanut,big9,butter toffee peanuts,butter toffee peanuts,139,77,73,62,0,55.40,55.40,42.6547,review_low,Frequent in uncovered positives but likely ambiguous.
Peanut,big9,peanut powder,peanut powder,62,36,36,26,0,58.06,58.06,20.9032,review_low,Frequent in uncovered positives but likely ambiguous.
Peanut,big9,roasted salted peanuts,roasted salted peanuts,66,32,24,34,0,48.48,48.48,15.5152,review_low,Frequent in uncovered positives but likely ambiguous.
Peanut,big9,hot spicy peanuts,hot spicy peanuts,20,17,12,3,0,85.00,85.00,14.4500,review_high,Strong precision/exclusivity; mined from unmatched positives.
Peanut,big9,chili peanuts,chili peanuts,23,15,11,8,0,65.22,65.22,9.7826,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,coconut cream,coconut cream,189,122,43,67,0,64.55,64.55,78.7513,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,macadamia nuts,macadamia nuts,279,127,73,152,0,45.52,45.52,57.8100,review_low,Frequent in uncovered positives but likely ambiguous.
Tree Nut,big9,coconut flakes,coconut flakes,71,48,23,23,0,67.61,67.61,32.4507,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,coconut water,coconut water,26,26,19,0,0,100.00,100.00,26.0000,promote,"High support, precision, and exclusivity from uncovered positives."
Tree Nut,big9,palm and coconut fat,palm and coconut fat,51,36,36,15,0,70.59,70.59,25.4118,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,coconut extract,coconut extract,46,29,16,17,0,63.04,63.04,18.2826,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,expeller pressed coconut oil,expeller pressed coconut oil,29,21,13,8,0,72.41,72.41,15.2069,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,palm and or coconut,palm and or coconut,28,19,19,9,0,67.86,67.86,12.8929,review_medium,Moderate precision/exclusivity; verify before promotion.
Tree Nut,big9,coconut oil fractions,coconut oil fractions,23,14,14,9,0,60.87,60.87,8.5217,review_medium,Moderate precision/exclusivity; verify before promotion.
Soy,big9,lecithin,lecithin,1109,660,37,449,0,59.51,59.51,392.7863,review_low,Frequent in uncovered positives but likely ambiguous.
Soy,big9,sunflower lecithin,sunflower lecithin,1332,669,34,663,0,50.23,50.23,336.0068,review_low,Frequent in uncovered positives but likely ambiguous.
Fish,big9,fish,fish,130,66,23,64,0,50.77,50.77,33.5077,review_low,Frequent in uncovered positives but likely ambiguous.
Fish,big9,skipjack tuna,skipjack tuna,25,20,19,5,0,80.00,80.00,16.0000,review_high,Strong precision/exclusivity; mined from unmatched positives.
Fish,big9,albacore tuna,albacore tuna,20,17,13,3,0,85.00,85.00,14.4500,review_high,Strong precision/exclusivity; mined from unmatched positives.
Fish,big9,smoked salmon,smoked salmon,36,20,20,16,0,55.56,55.56,11.1111,review_low,Frequent in uncovered positives but likely ambiguous.
Sesame,big9,sesame sticks,sesame sticks,376,262,262,114,0,69.68,69.68,182.5638,review_medium,Moderate precision/exclusivity; verify before promotion.
Sesame,big9,honey roasted sesame sticks,honey roasted sesame sticks,133,105,105,28,0,78.95,78.95,82.8947,review_high,Strong precision/exclusivity; mined from unmatched positives.
Sesame,big9,sesame,sesame,86,51,37,35,0,59.30,59.30,30.2442,review_low,Frequent in uncovered positives but likely ambiguous.
Sesame,big9,honey sesame sticks,honey sesame sticks,55,32,32,23,0,58.18,58.18,18.6182,review_low,Frequent in uncovered positives but likely ambiguous.
Sesame,big9,sesame sauce,sesame sauce,25,20,15,5,0,80.00,80.00,16.0000,review_high,Strong precision/exclusivity; mined from unmatched positives.
