priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1540,beef flavor autolyzed yeast extract,beef flavor autolyzed yeast extract,11,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:generic_extract,beef flavor autolyzed yeast extract (11),usda_only_train:7 | usda_only_val:2 | usda_only_holdout:2,,
1540,turkey sausage turkey water seasoning rosemary extract,"turkey sausage turkey, water, seasoning , rosemary extract",8,no,,Gluten-free,Pescatarian | Vegan | Vegetarian,diet_block:meat | evidence:surface_form | review:generic_extract,"turkey sausage (turkey, water, seasoning (salt, spices, sugar, yeast extract), rosemary extract) (8)",usda_only_train:5 | usda_only_holdout:2 | usda_only_val:1,,
1535,flavoring spice extractive with soybean oil,flavoring spice extractive with soybean oil,7,no,soy,Vegan | Vegetarian | Pescatarian | Gluten-free,,allergen:soy | review:ambiguous_generic,flavoring spice extractive with soybean oil (7),usda_only_train:5 | usda_only_val:1 | usda_only_holdout:1,,
1235,spices including chili pepper and spice extractive,spices including chili pepper and spice extractive,18,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic,spices including chili pepper and spice extractives (18),usda_only_train:13 | usda_only_holdout:3 | usda_only_val:2,,
1235,kelp extract kelp extract,kelp extract kelp extract,17,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,kelp extract kelp extract (17),usda_only_train:11 | usda_only_val:4 | usda_only_holdout:2,,
1235,and citrus extract,and citrus extract,12,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,and citrus extract (12),usda_only_train:6 | usda_only_val:4 | usda_only_holdout:2,,
1235,mushroom extract to protect quality,mushroom extract to protect quality,12,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,mushroom extract to protect quality (12),usda_only_val:5 | usda_only_train:4 | usda_only_holdout:3,,
1235,spice and or liquid pepper extract,spice and/or liquid pepper extract,12,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic | review:generic_extract,spice and/or liquid pepper extract (12),usda_only_train:10 | usda_only_holdout:2,,
1235,sushi rice water white rice sushi vinegar sugar rice vinegar salt citric acid kelp extract,"sushi rice water, white rice, sushi vinegar sugar, rice vinegar, salt, citric acid, kelp extract",12,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,"sushi rice (water, white rice, sushi vinegar (sugar, rice vinegar, salt, citric acid, kelp extract (kelp extract, sugar alcohol, hydrogenated starch hydrolysates, alcohol, salt, xanthan gum))) (12)",usda_only_train:8 | usda_only_val:2 | usda_only_holdout:2,,
1235,high oleic sunflower oil and or high oleic canola oil with rosemary extract and ascorbic acid,high oleic sunflower oil and/or high oleic canola oil with rosemary extract and ascorbic acid,11,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,high oleic sunflower oil and/or high oleic canola oil with rosemary extract and ascorbic acid (11),usda_only_train:11,,
1235,seasonings natural spice extractive,seasonings natural spice extractive,11,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic,seasonings natural spice extractives (11),usda_only_train:10 | usda_only_holdout:1,,
1235,chocolate extract,chocolate extract,10,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,chocolate extract (5) | * chocolate extract (5),usda_only_train:6 | usda_only_val:2 | usda_only_holdout:2,,
1235,flavoring rosemary extract,flavoring rosemary extract,10,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic | review:generic_extract,flavoring rosemary extract (10),usda_only_train:8 | usda_only_val:1 | usda_only_holdout:1,,
1235,glycyrrhizine extract,glycyrrhizine extract,10,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,glycyrrhizine extract (10),usda_only_train:10,,
1235,seasoning yeast extract,seasoning yeast extract,10,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic | review:generic_extract,seasoning yeast extract (10),usda_only_train:5 | usda_only_val:4 | usda_only_holdout:1,,
1235,spice extractive with not more than 2 silicon dioxide a processing aid,spice extractive with not more than 2% silicon dioxide a processing aid,10,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic,spice extractive with not more than 2% silicon dioxide a processing aid (10),usda_only_train:7 | usda_only_val:2 | usda_only_holdout:1,,
1235,chili extract,chili extract,8,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,chili extract (5) | chili extracts (3),usda_only_train:7 | usda_only_val:1,,
1235,chipotle pepper extract,chipotle pepper extract,8,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,chipotle pepper extract (8),usda_only_train:6 | usda_only_holdout:2,,
1235,concentrated vegetable extract,concentrated vegetable extract,8,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,"concentrated vegetable extracts (stinging nettle, turmeric) (4) | concentrated vegetable extracts (stinging nettle, spinach) (2) | concentrated vegetable extracts (safflower, spirulina) (2)",usda_only_train:4 | usda_only_val:3 | usda_only_holdout:1,,
1235,horseradish extract,horseradish extract,8,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,horseradish extract (8),usda_only_train:6 | usda_only_holdout:2,,
1235,purified stevia extract,purified stevia extract,8,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,purified stevia extract (8),usda_only_train:5 | usda_only_val:3,,
1235,sunflower and or high oleic canola oil with rosemary extract and ascorbic acid,sunflower and/or high oleic canola oil with rosemary extract and ascorbic acid,8,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,sunflower and/or high oleic canola oil with rosemary extract and ascorbic acid ) (8),usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1175,celery extract,celery extract,58,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,cultured celery extract (49) | celery extract (9),usda_only_train:42 | usda_only_val:6 | usda_only_holdout:6 | openfoodfacts_targeted:4,,
1175,spices and spice extractive,spices and spice extractive,54,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:ambiguous_generic,spices and spice extractives (53) | spices and spice extractive (1),usda_only_train:36 | usda_only_val:11 | usda_only_holdout:7,,
1175,and turmeric extract,and turmeric extract,42,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,and turmeric extracts) (42),usda_only_train:28 | usda_only_val:7 | usda_only_holdout:7,,
1175,olive extract,olive extract,40,no,,Vegan | Vegetarian | Pescatarian | Gluten-free,,review:generic_extract,olive extract (39) | olive extract (antioxidant used as a preservative) (1),usda_only_train:31 | usda_only_holdout:5 | usda_only_val:3 | openfoodfacts_targeted:1,,
